name,address,locality,phone
Dontino's Italian Restaurant,555 E Cuyahoga Falls Ave,"Akron, OH 44310",(330) 752-8892
Peppe & Luigi's Pizza,240 5th St SE Ste 2,"Barberton, OH 44203",(330) 745-1121
Leaning Tower Of Pizza & Submarine Carry Out,180 Lexington Ave,"Mansfield, OH 44907",(419) 525-3462
Old 30 BBQ,1330 E Mansfield St,"Bucyrus, OH 44820",(419) 834-9678
Dutch Kitchen,14278 Lincoln Way E,"Dalton, OH 44618",(330) 683-0530
Toft Dairy,3717 Venice Rd,"Sandusky, OH 44870",(419) 359-8118
Yummy Treats Inc,5445 Angola Rd,"Toledo, OH 43615",(419) 868-6533
Freeze Dari,1431 Chestnut St,"Coshocton, OH 43812",(740) 622-4827
Pat's Donuts & Kreme,2102 Elida Rd,"Lima, OH 45805",(567) 226-4641
Mary Yoder's Amish Kitchen Bakery & Collectible Gifts,14743 N State Ave,"Middlefield, OH 44062",(440) 632-1939
Jack's Deli & Restaurant,14490 Cedar Rd,"Cleveland, OH 44121",(216) 307-4745
Gran Fiesta Mexican Restaurant,18737 Royalton Rd,"Strongsville, OH 44136",(440) 638-1114
Montage Cafe,527 S Broadway St,"Greenville, OH 45331",(937) 569-0294
AV Lake Construction,3427 Venice Rd,"Sandusky, OH 44870",(419) 626-1586
Raisin Rack Natural Food Market,2545 W Schrock Rd,"Westerville, OH 43081",(614) 882-5886
Amie's Pizza Factory,6710 W Central Ave,"Toledo, OH 43617",(419) 842-8008
Devitis Italian Market,560 E Tallmadge Ave,"Akron, OH 44310",(330) 535-2626
Athens Pizzeria,8801 Denison Ave,"Cleveland, OH 44102",(216) 961-6176
Grillin Daves-Style,1612 Linden Ave,"Zanesville, OH 43701",(740) 452-3808
Jac & Do's Pizza,1201 Trenton Ave,"Findlay, OH 45840",(419) 422-5778
The Dock,250 W Main St,"Enon, OH 45323",(937) 340-0318
Don Ramon Mexican Restaurant,30610 Detroit Rd,"Westlake, OH 44145",(440) 359-8133
New Manhattan The,7262 Hubbard Masury Rd,"Hubbard, OH 44425",(330) 534-7890
Don Ramon Mexican Restaurant,6278 Pearl Rd,"Cleveland, OH 44130",(440) 886-0566
Rollz Rice,,"Lewis Center, OH 43035",(440) 865-3467
Spread Eagle Tavern & Inn,10150 Plymouth St,"Hanoverton, OH 44423",(330) 223-1583
Hasty Tasty Pancake House,3509 Linden Ave,"Dayton, OH 45410",(937) 254-8431
Covered Bridge Pizza Parlor And Eatery,6541 S. Main St.,"Ashtabula, OH 44004",(440) 795-5051
Molyet's Farm Market & Garden Center,555 W Market St,"Tiffin, OH 44883",(419) 447-9988
Hunan  Garden,1516 Coshocton Ave,"Mount Vernon, OH 43050",(740) 393-1313
South Erie Pizza,914 Erie St S,"Massillon, OH 44646",(330) 837-9797
The Desert Inn,204 12th St NW,"Canton, OH 44703",(330) 456-1766
J Pistone Market & Gathering Place,3245 Warrensville Center Rd,"Shaker Heights, OH 44122",(216) 283-3663
Mark Pi's China Gate,2502 Maple Ave,"Zanesville, OH 43701",(740) 453-6655
Smitty's Pizza,500 Front St,"Marietta, OH 45750",(740) 374-2280
Mark & Philly's,3156 Bailey Rd,"Cuyahoga Falls, OH 44221",(330) 920-1675
Gentile's Bakery - Deli - Catering,5626 Broadview Rd,"Cleveland, OH 44134",(216) 351-1161
Noday's Pizza & Deli,5229 Mahoning Ave,"Youngstown, OH 44515",(330) 792-5822
Cappy's Pizza,225 Lafayette St,"London, OH 43140",(740) 852-3984
Helmat Haus Party House & Picnic Grounds,4555 Jackson Pike,"Grove City, OH 43123",(614) 875-6005
Ron's Pizza,506 Coshocton Ave,"Mount Vernon, OH 43050",(740) 392-2031
Tat Ristorante Di Famiglia,1210 S James Rd,"Columbus, OH 43227",(614) 236-1392
Dusty's Landing,4760 Dustys Rd,"Akron, OH 44319",(330) 644-3250
Picnic Pizza Col. Sq. Mall,3575 Maple Ave,"Zanesville, OH 43701",(740) 452-8451
Milano Monuments,14600 Brookpark Rd,"Cleveland, OH 44135",(216) 362-1199
Hu Nan Chinese Restaurant,106 N 4th St,"Steubenville, OH 43952",(740) 282-8952
Kahoots,4522 Kenny Rd,"Columbus, OH 43220",(614) 451-7464
Meritech,4577 Hinckley Industrial Pkwy,"Cleveland, OH 44109",(216) 459-8333
Luke's Bar & Grill,133 N Main St,"Bluffton, OH 45817",(419) 358-4486
Georgio's Oven Fresh Pizza,3888 W 130th St,"Cleveland, OH 44111",(216) 671-3800
Scarsella's Restaurant,4151 Market St,"Youngstown, OH 44512",(330) 788-0806
Mama Catena Ristorante,711 Babbitt Rd,"Euclid, OH 44123",(216) 261-1168
Mike & Rosy's Deli,330 W Mccreight Ave,"Springfield, OH 45504",(937) 390-3511
Little Caesars,446 Pike St,"Marietta, OH 45750",(740) 374-8151
St  Augustine Health Campus,7801 Detroit Ave,"Cleveland, OH 44102",(440) 888-7722
Riesbeck's Pharmacy,104 Plaza Dr,"Saint Clairsville, OH 43950",(740) 695-0274
Pizza House East,604 Scott St,"Sandusky, OH 44870",(419) 626-4222
Tea Tree Asian Bistro,4100 Chappel Dr,"Perrysburg, OH 43551",(419) 874-8828
Waterloo Restaurant & Catering,423 E Waterloo Rd,"Akron, OH 44319",(330) 773-5158
Frank's Place On Market,549 W Market St,"Akron, OH 44303",(330) 376-8307
Little Caesars,50813 Valley Plaza Dr,"Saint Clairsville, OH 43950",(740) 695-1858
Fat Jack's Pizza,2340 Spencerville Rd,"Lima, OH 45805",(419) 229-2002
Augie's Pizza,5210 Chillicothe Rd,"Chagrin Falls, OH 44022",(440) 338-1112
Augie's Pizza,14084 State Rd,"North Royalton, OH 44133",(440) 237-2080
Molinari's,8900 Mentor Ave,"Mentor, OH 44060",(440) 974-2750
Golden Delight Bakery,1516 Bethel Rd,"Columbus, OH 43220",(614) 459-6888
China Bell Restaurant,1947 Stringtown Rd,"Grove City, OH 43123",(614) 871-2420
Falls Mediterranean Food Mart & Grill,526 Graham Rd,"Cuyahoga Falls, OH 44221",(330) 923-7777
Kabab & Curry,5114 Whipple Ave NW,"Canton, OH 44718",(330) 492-2060
Soul Food Sensations,2905 Glenwood Ave,"Youngstown, OH 44511",(330) 788-8955
Chateau Michele,2231 44th St NW,"Canton, OH 44709",(330) 493-3463
Los Buenos Amigos,203 Cline St,"Norwalk, OH 44857",(419) 660-1122
Blue Creek General Store,21309 State Route 125,"Blue Creek, OH 45616",(937) 544-5147
The Lodge Taproom & Grille,9700 Page Rd,"Streetsboro, OH 44241",(330) 626-2828
Sub City,691 Richmond Rd,"Cleveland, OH 44143",(440) 720-0642
Westgate Entertainment Center,721 N Cable Rd,"Lima, OH 45805",(419) 227-7231
Kocian Meats & Marketplace,4058 Saint Clair Ave,"Cleveland, OH 44103",(216) 881-7676
Sukho Thai,4430 Belden Village St NW,"Canton, OH 44718",(330) 492-7888
Zamarelli Pizza Palace,4011 Front St,"Grove City, OH 43123",(614) 875-2700
Gridiron On Exchange Bar & Grille,456 E Exchange St,"Akron, OH 44304",(330) 535-9464
Emidio & Sons Italian Restaurant,636 N Main St,"Akron, OH 44310",(330) 253-4777
Miles Farmers Market,28560 Miles Rd,"Solon, OH 44139",(800) 646-4537
The Dipped Donut,256 S Sandusky St,"Delaware, OH 43015",(740) 957-8100
K&C Restaurants LLC,58 N Mulberry St,"Logan, OH 43138",(740) 385-8558
Ding Ho Restaurant,120 Phillipi Rd,"Columbus, OH 43228",(614) 276-4395
Arnies West Branch Steak House,5343 State Route 14,"Ravenna, OH 44266",(330) 297-1717
Jays Crab Boil and Oyster bar,10705 Blacklick Eastern Rd,"Pickerington, OH 43147",(614) 626-0300
Zepp's Pizza,1108 S Main St,"North Canton, OH 44720",(330) 966-9453
Kame House Hibachi Grill,6091 Cleveland Ave,"Columbus, OH 43231",(614) 943-0590
Habaneros Fresh Mexican Grill,3680 Fishinger Blvd,"Hilliard, OH 43026",(614) 541-9894
Ajanta Restaurant,3063 Woodman Dr,"Dayton, OH 45420",(937) 296-9200
Roby  Lee's Restaurant & Banquet Center,425 Ridge Rd,"Newton Falls, OH 44444",(330) 540-1019
The Pizza House,120 W Mcpherson Hwy,"Clyde, OH 43410",(419) 547-8375
Monica's Mexican Restaurant,1682 Merriman Rd,"Akron, OH 44313",(330) 836-1167
Mama B's Pizza,1115 Columbus Ave,"Sandusky, OH 44870",(419) 625-9999
Gus's Paving,17454 State Route 335,"Beaver, OH 45613",(740) 947-7903
Fat Jack's Pizza,1806 N West St,"Lima, OH 45801",(419) 227-1813
Grand Buffet,1450 Circleville Plaza Dr,"Circleville, OH 43113",(740) 477-8882
Bongiorno's Family Ristorante,9149 Ravenna Rd,"Twinsburg, OH 44087",(330) 487-1545
Hartzler Family Dairy,5454 Cleveland Rd,"Wooster, OH 44691",(330) 345-8190
Panda Garden,6600 Dixie Hwy,"Fairfield, OH 45014",(513) 870-0068
Wendy's,400 E Emmitt Ave,"Waverly, OH 45690",(740) 947-4000
Eastern Wok,3877 S High St,"Columbus, OH 43207",(614) 492-9300
Bob Evans Restaurant,1929 Harshman Rd,"Dayton, OH 45424",(937) 233-8729
Subway,2500 Tiffin Ave,"Findlay, OH 45840",(419) 423-3659
Junkers Tavern,4156 Langland St,"Cincinnati, OH 45223",(513) 541-5470
Hiland,722 N Highland Ave,"Girard, OH 44420",(330) 545-8686
Mike's Pub,2542 W Broad St,"Columbus, OH 43204",(614) 351-1869
Ko Sheng Chinese,3350 Cleveland Ave,"Columbus, OH 43224",(614) 262-1885
Burger King - Closed,3390 Cleveland Ave,"Columbus, OH 43224",(614) 267-0521
Seoul Garden Korean Restaurant,2559 State Rd,"Cuyahoga Falls, OH 44223",(330) 929-9971
Subway,995 S Washington St,"Millersburg, OH 44654",(330) 674-7827
Taco Bell,3970 Hauck Rd,"Sharonville, OH 45241",(513) 733-3070
Sugar Street Bar & Grill,1341 N Sugar St,"Lima, OH 45801",(419) 224-8838
El Campesino,9169 State Route 14,"Streetsboro, OH 44241",(330) 626-9777
Taco Bell,360 Howe Ave,"Cuyahoga Falls, OH 44221",(330) 928-2626
McDonald's,30100 Detroit Rd,"Westlake, OH 44145",(440) 835-2397
Dino's Cappuccinos,225 Xenia Ave,"Yellow Springs, OH 45387",(937) 767-3466
Willcher Inc,265 Hampshire Rd,"Akron, OH 44313",(330) 835-4658
Pony Express Pizza,3031 Graham Rd,"Stow, OH 44224",(330) 673-9410
McDonald's,10710 Lorain Ave,"Cleveland, OH 44111",(216) 252-9318
Lembo's Italian Restaurant,1186 Canton Rd,"Akron, OH 44312",(330) 733-7586
Brijmohan Indian Sweets & Restaurant,11277 Reading Rd,"Cincinnati, OH 45241",(513) 769-4549
Harper Management,415 E Main St,"Lancaster, OH 43130",(740) 653-3073
Village Pizza & Diner,8133 S State Route 48,"Maineville, OH 45039",(513) 683-9532
B & M Barbeque,5501 Warrensville Center Rd,"Maple Heights, OH 44137",(216) 475-8720
Due Amici,67 E Gay St,"Columbus, OH 43215",(614) 224-9373
Ianazone's Pizza,9056 N Lima Rd Suite A,"Youngstown, OH 44514",(234) 759-3533
R Ribs BBQ,26004 Euclid Ave,"Euclid, OH 44132",(216) 797-0200
Wally's Old Fashioned Pizza & Subs,1860 E Wheeling Ave,"Cambridge, OH 43725",(740) 432-2917
Paesano's Pasta House,308 S Campus Ave,"Oxford, OH 45056",(513) 524-9100
Fort Defiance Meats,1214 S Clinton St,"Defiance, OH 43512",(419) 784-2982
Wendy's,12498 Us Highway 35 NW,"Jeffersonville, OH 43128",(740) 948-2600
Stockport Mill Inn,1995 Broadway St,"Stockport, OH 43787",(740) 559-2822
Butchs Italian Cafe,6394 Gender Rd,"Canal Winchester, OH 43110",(614) 834-3201
Niedeckens's Carry-Out,604 S Main St,"Delphos, OH 45833",(419) 692-0891
Burger King,1535 E Alexis Rd,"Toledo, OH 43612",(419) 727-0055
Pizza Oven,1589 N Main St,"North Canton, OH 44720",(330) 494-4100
Recovery Room Bar,12207 Mccracken Rd,"Cleveland, OH 44125",(216) 581-4922
Wendy's,6781 E Main St,"Reynoldsburg, OH 43068",(614) 868-9913
Papa Johns Pizza,1444 Main St,"Hamilton, OH 45013",(513) 887-6600
McDonald's,67 W Broad St,"Pataskala, OH 43062",(740) 927-2269
Magic Wok,2040 W Laskey Rd,"Toledo, OH 43613",(419) 472-4453
Cleveland Chop,824 W Saint Clair Ave,"Cleveland, OH 44113",(216) 696-2467
Pizza To Go,16 S Main St,"Marengo, OH 43334",(419) 253-8595
Corbo's Bakery,12210 Mayfield Rd,"Cleveland, OH 44106",(216) 421-8181
Michael's Pizza of West Liberty,110 N Detroit St,"West Liberty, OH 43357",(937) 465-6437
Le Bistro du Beaujolais,8134 Columbia Rd,"Olmsted Falls, OH 44138",(440) 793-5028
The Breakfast Club Cafe,102 N Broadway St,"Lebanon, OH 45036",(513) 932-0210
Arby's,7095 Engle Rd,"Cleveland, OH 44130",(440) 239-0323
Winking Lizard of Mentor,9570 Mentor Ave,"Mentor, OH 44060",(440) 354-2968
Westwood Deli,2200 Harrison Ave,"Cincinnati, OH 45211",(513) 481-7517
Damon's,2227 Stringtown Rd,"Grove City, OH 43123",(614) 539-1313
Dante's Gameday Grille,1019 N Main St,"Akron, OH 44310",(330) 922-8344
Nick's Family Restaurant,34610 Lake Shore Blvd,"Eastlake, OH 44095",(440) 942-3770
Mitchell's Steakhouse,1408 Polaris Pkwy,"Columbus, OH 43240",(614) 888-2467
Arby's,3020 N Wooster Ave,"Dover, OH 44622",(330) 364-2299
Waffle House,2454 S Reynolds Rd,"Toledo, OH 43614",(419) 861-1577
Bullshooters,35 E Main St,"Ashland, OH 44805",(419) 282-9774
La Tapatia,4941 Burkhardt Rd,"Dayton, OH 45431",(937) 256-5863
El Vaquero,3230 Olentangy River Rd,"Columbus, OH 43202",(614) 261-0900
Schaffner's Drive In,601 W Market St,"Baltimore, OH 43105",(740) 862-6832
Bar 23,584 N High St,"Columbus, OH 43215",(614) 224-2323
Pizza Bros Inc,404 Cleveland Rd E,"Huron, OH 44839",(419) 433-4098
Amanda Carry Out,145 E Main St,"Lancaster, OH 43130",(740) 969-2773
Subway,16208 Madison Ave  Northland Plaza,"Lakewood, OH 44107",(216) 228-9300
Basi Italia,811 Highland St,"Columbus, OH 43215",(614) 294-7383
Tokyo Peking Chinese Restaurant,3 N Market St,"Troy, OH 45373",(937) 339-7762
Panera Bread,4205 Boardman Canfield Rd,"Canfield, OH 44406",(330) 533-7401
Domino's Pizza,126 N Main St,"Fredericktown, OH 43019",(740) 694-7827
Chillicothe Street Pizza,54 S Chillicothe St,"South Charleston, OH 45368",(937) 462-8033
Toro Loco,8630 Ohio River Rd,"Wheelersburg, OH 45694",(740) 574-4111
Cameo Pizza,280 SE Catawba Rd,"Port Clinton, OH 43452",(419) 734-7070
CiCi's Pizza,7631 Troy Pike,"Dayton, OH 45424",(937) 236-2424
Tigers Den Pizza,412 W Baird St,"West Liberty, OH 43357",(937) 650-1111
Nazareth Restaurant,4032 Presidential Pkwy,"Powell, OH 43065",(614) 210-0211
Heavenly Ham,50609 Valley Plaza Dr,"Saint Clairsville, OH 43950",(740) 699-0393
Winds Cafe,215 Xenia Ave,"Yellow Springs, OH 45387",(937) 767-1144
Burger King,10260 Brookpark Rd,"Cleveland, OH 44130",(216) 265-9193
Tai Wah Chinese Restaurant,5835 Darrow Rd,"Hudson, OH 44236",(330) 528-0888
Dairy Queen,309 Ashland Rd,"Mansfield, OH 44905",(419) 522-4883
Wendy's,4245 Cemetery Rd,"Hilliard, OH 43026",(614) 771-0545
China Garden,616 N University Blvd,"Middletown, OH 45042",(513) 422-6845
Elegant Fare,2575 Commerce Blvd,"Cincinnati, OH 45241",(513) 552-1340
Buger Nuts,36099 Euclid Ave,"Willoughby, OH 44094",(440) 946-6887
Paulette's,238 S Sandusky St,"Tiffin, OH 44883",(419) 443-0331
Chicago's Pizza,6679 Dixie Hwy,"Fairfield, OH 45014",(513) 874-7040
Shorty's,554 W Central Ave,"Delaware, OH 43015",(740) 362-5555
Deer Trail Pizza,11276 Us Highway 62,"Orient, OH 43146",(614) 877-3282
Subway,3883 Burbank Rd,"Wooster, OH 44691",(330) 345-7080
Kellogg Country House,3742 Kellogg Ave,"Cincinnati, OH 45226",(513) 871-2700
Capps Pizza,156 E Main St,"Orwell, OH 44076",(440) 437-5262
5th Street Wine & Deli,416 E 5th St,"Dayton, OH 45402",(937) 220-9333
Bub's Pizza Bar,3200 Linwood Ave Ste 2,"Cincinnati, OH 45226",(513) 321-2540
Sweet Melissa,19337 Detroit Rd,"Rocky River, OH 44116",(440) 333-6357
McDonald's,3273 Manchester Rd,"Coventry Township, OH 44319",(330) 644-2171
Toro Loco,781 E Main St,"Jackson, OH 45640",(740) 288-7227
Chud's Inc,1103 Napoleon St,"Fremont, OH 43420",(419) 332-9565
Kissho Asian Bistro & Sushi Bar,6823 E Broad St,"Columbus, OH 43213",(614) 861-3515
Village Family Restaurant,144 S Main St,"Waynesville, OH 45068",(513) 897-8835
Quik Deli,5820 Lee Rd S,"Maple Heights, OH 44137",(216) 581-2269
Bob Evans Restaurant,2433 S Reynolds Rd,"Toledo, OH 43614",(419) 381-1422
New Style,136 Akron Rd,"Wadsworth, OH 44281",(330) 334-9900
Dry Dock Saloon,8180 E Harbor Rd,"Lakeside Marblehead, OH 43440",(419) 798-9937
631 Frisch's Big Boy Restaurant,1540 E Wooster St,"Bowling Green, OH 43402",(419) 352-3531
Grand Buffet,12900 State Route 664 S,"Logan, OH 43138",(740) 380-9922
Domino's Pizza,302 E Main St,"Ravenna, OH 44266",(330) 296-5559
Burger King,7321 Dixie Hwy,"Fairfield, OH 45014",(513) 874-2189
Minuteman Pizza,4039 Parkmead Dr,"Grove City, OH 43123",(614) 539-5000
Taco Tontos,123 Franklin Ave,"Kent, OH 44240",(330) 677-0223
Donatos Pizza,1712 N Limestone St,"Springfield, OH 45503",(937) 390-8090
Nida's Sushi,59 Spruce St,"Columbus, OH 43215",(614) 228-4470
Burger King,2828 Medina Rd,"Medina, OH 44256",(330) 722-6040
Wing Warehouse,4050 Fishcreek Rd,"Stow, OH 44224",(330) 686-6509
David B's Grill and Pub,524 W Tuscarawas Ave,"Barberton, OH 44203",(330) 745-7677
New Wong's Chinese Restaurant,30160 Euclid Ave,"Wickliffe, OH 44092",(440) 585-2822
T & J Fresh Mex,7134 Ashlawn Dr,"Brecksville, OH 44141",(440) 740-0357
Jefferson Country Club,7271 Jefferson Meadows Dr,"Blacklick, OH 43004",(614) 759-7500
Simon Says,428 Walnut St,"Cincinnati, OH 45202",(513) 381-7577
Golden Dawn Restaurant,1245 Logan Ave,"Youngstown, OH 44505",(330) 746-0393
Dairy Queen (Treat) - Seasonally Closed,1628 W Market St,"Warren, OH 44485",(330) 469-5185
Lucky Restaurant,742 E 185th St,"Cleveland, OH 44119",(216) 486-1222
Donatos Pizza,9764 Sawmill Pkwy,"Powell, OH 43065",(614) 761-5400
Wendy's,8342 Princeton Glendale Rd,"West Chester, OH 45069",(513) 224-0838
Catfish Biff's Pizza & Subs,75 W 11th Ave,"Columbus, OH 43201",(614) 421-7421
Italianette Pizza,6918 Plainfield Rd,"Cincinnati, OH 45236",(513) 791-7650
Phillip's Delicatessen,536 Heaton St,"Hamilton, OH 45011",(513) 893-4811
O'Charley's,1425 Polaris Pkwy,"Columbus, OH 43240",(614) 846-9744
LongHorn Steakhouse,459 W Dussel Dr,"Maumee, OH 43537",(419) 891-5100
Flyboys,22 Mcdaniel St,"Dayton, OH 45405",(937) 220-9000
Mutz Inc,27 Broadway St,"Toledo, OH 43604",(419) 724-4060
Boat House Restaurant,218 Hartford Ave,"Put In Bay, OH 43456",(419) 285-5665
Burger King,3299 Steelyard Dr,"Cleveland, OH 44109",(216) 661-4427
Waffle House,5600 Executive Blvd,"Dayton, OH 45424",(937) 233-6440
Subway,501 E Dixie Dr,"Dayton, OH 45449",(937) 866-2551
O'Bryan's,1307 W High St,"Bryan, OH 43506",(419) 636-6817
J D's Pizza Deli & Catering,212 W Main Rd,"Conneaut, OH 44030",(440) 593-2113
Belly Busters BBQ,1159 E Main St,"Ashland, OH 44805",(419) 903-0930
LongHorn Steakhouse,45 Montrose West Ave,"Copley, OH 44321",(330) 670-9059
Twin Lakes Golf Course and Restaurant,100 Decker St,"Bellevue, OH 44811",(419) 483-2842
Burger King,5165 Pleasant Ave,"Fairfield, OH 45014",(513) 867-9933
Tim Horton's,790 Georgesville Rd,"Columbus, OH 43228",(614) 274-8060
Midway Restaurant,350 W Franklin St,"Kenton, OH 43326",(419) 673-9189
Wendy's,560 Carroll St,"New Lexington, OH 43764",(740) 342-4860
Long John Silver's | A&W,3561 Cleveland Ave,"Columbus, OH 43224",(614) 268-6075
Dairy Queen Grill & Chill,4263 Lancaster Ave,"Obetz, OH 43207",(614) 491-1511
Bob Evans Restaurant,2100 S Main St,"Bellefontaine, OH 43311",(937) 592-9552
Shady Grove Inc,15733 E Us Route 224,"Findlay, OH 45840",(419) 422-7494
Rudder's,3260 NE Catawba Rd,"Port Clinton, OH 43452",(419) 797-3260
Bayview Pub,5355 Bayview Rd,"Celina, OH 45822",(419) 268-2775
Hardee's,200 N College St,"Piqua, OH 45356",(937) 773-9751
Ralphie's Sports Eatery,3005 Navarre Ave,"Oregon, OH 43616",(419) 693-2500
Maryanns Pizza,1178 Milan Ave,"Amherst, OH 44001",(419) 984-2525
Draft House,15 W Main St,"Newark, OH 43055",(740) 345-9380
McDonald's,101 McCauley Dr,"Uhrichsville, OH 44683",(740) 922-3298
Arnie's Public House,1682 W Market St,"Akron, OH 44313",(330) 867-0154
Fu Qiang Wang,2802 Clark Ave,"Cleveland, OH 44109",(216) 566-8811
Bob Evans Restaurant,1380 N Hamilton Rd,"Gahanna, OH 43230",(614) 418-4791
Angie's Pizza of North Royalton,6120 Royalton Rd,"North Royalton, OH 44133",(440) 237-2440
Chuck E. Cheese's,6370 Strip Ave NW,"North Canton, OH 44720",(330) 494-7140
Sunrise Inn Express,132 Niles Cortland Rd NE,"Warren, OH 44484",(330) 609-7473
Jolly Pirate Donuts,175 S 30th St,"Newark, OH 43055",(740) 344-5528
Miller's Drive In Restaurant,1849 E Mansfield St,"Bucyrus, OH 44820",(419) 562-8554
Gia Bella's,189 Park Ave,"Conneaut, OH 44030",(440) 599-9981
Lakeview Market,3102 S Main St,"Coventry Township, OH 44319",(330) 644-8843
Aladdin's Eatery,2931 N High St,"Columbus, OH 43202",(614) 262-2414
Bob Evans Restaurant,3910 Lyman Dr,"Hilliard, OH 43026",(614) 771-6799
Dairy Queen,1240 Celina Rd,"Saint Marys, OH 45885",(419) 394-2916
Pat's Lido Club,4308 Springfield St,"Dayton, OH 45431",(937) 252-9980
Wendy's,7200 Hoke Rd,"Englewood, OH 45315",(937) 412-2156
Busken Bakery,370 W Kemper Rd,"Cincinnati, OH 45246",(513) 671-8454
Casa Fiesta,2455 Hayes Ave,"Fremont, OH 43420",(419) 332-0811
Legends Sports Bar & Grill L,,"Medina, OH 44256",(330) 952-0940
Wendy's,970 Loudenville Lexington Rd,"Lexington, OH 44904",(419) 886-3553
Toro Loco Mexican Restaurant,701 Washington St,"Portsmouth, OH 45662",(740) 354-0407
Subway,6356 Market Ave N,"Canton, OH 44721",(330) 966-8454
Wendy's,11400 Dallas Blvd,"Cincinnati, OH 45231",(513) 742-9999
Julian's,314 Pioneer St,"Akron, OH 44305",(330) 798-0043
Hanic's Cafe,915 Wooster Rd W,"Barberton, OH 44203",(330) 825-0005
Buns Restaurant,14 W Winter St,"Delaware, OH 43015",(740) 363-2867
Last Quarter,1895 Triplett Blvd,"Akron, OH 44312",(330) 784-1108
Mr. Hero,31910 Vine St,"Willowick, OH 44095",(440) 585-5234
McDonald's,8300 Arbor Square Dr,"Mason, OH 45040",(513) 229-0141
Bob Evans Restaurant,960 E Dublin Granville Rd,"Columbus, OH 43229",(614) 888-1234
J Rocks Bar & Grill,3008 Tytus Ave,"Middletown, OH 45042",(513) 422-1013
Subway,907 E River St,"Elyria, OH 44035",(440) 323-1460
Cobblestone Tavern,4737 Dixie Hwy,"Fairfield, OH 45014",(513) 499-2014
Erin's Wings,6965 Truck World Blvd,"Hubbard, OH 44425",(330) 534-0777
Queen City Pizza,2580 Queen City Ave,"Cincinnati, OH 45238",(513) 661-1700
Cassano's Pizza King,1201 Jackson Ln,"Middletown, OH 45044",(888) 294-5464
Gitta's Table And Wine Shop,32457 Lake Rd,"Avon Lake, OH 44012",(440) 933-5888
Subway,3500 Hudson Dr Ste 1,"Stow, OH 44224",(330) 945-6211
Wings Sports Bar and Grill,14516 Broadway Ave,"Cleveland, OH 44125",(216) 587-5495
Domino's Pizza,1413 S Water St,"Kent, OH 44240",(330) 673-6360
Half Day Cafe,1 Wyoming Ave,"Cincinnati, OH 45215",(513) 821-2323
Starliner Diner,5240 Cemetery Rd,"Hilliard, OH 43026",(614) 529-1198
Massey's Pizza,9838 Brewster Ln,"Powell, OH 43065",(614) 799-5777
