name,address,locality,phone,dup check
Augie's Pizza,5210 Chillicothe Rd,"Chagrin Falls, OH 44022",(440) 338-1112,1
Augie's Pizza,14084 State Rd,"North Royalton, OH 44133",(440) 237-2080,1
Molinari's,8900 Mentor Ave,"Mentor, OH 44060",(440) 974-2750,1
Golden Delight Bakery,1516 Bethel Rd,"Columbus, OH 43220",(614) 459-6888,1
China Bell Restaurant,1947 Stringtown Rd,"Grove City, OH 43123",(614) 871-2420,1
Falls Mediterranean Food Mart & Grill,526 Graham Rd,"Cuyahoga Falls, OH 44221",(330) 923-7777,1
Kabab & Curry,5114 Whipple Ave NW,"Canton, OH 44718",(330) 492-2060,1
Soul Food Sensations,2905 Glenwood Ave,"Youngstown, OH 44511",(330) 788-8955,1
Chateau Michele,2231 44th St NW,"Canton, OH 44709",(330) 493-3463,1
Los Buenos Amigos,203 Cline St,"Norwalk, OH 44857",(419) 660-1122,1
Blue Creek General Store,21309 State Route 125,"Blue Creek, OH 45616",(937) 544-5147,1
The Lodge Taproom & Grille,9700 Page Rd,"Streetsboro, OH 44241",(330) 626-2828,1
Sub City,691 Richmond Rd,"Cleveland, OH 44143",(440) 720-0642,1
Westgate Entertainment Center,721 N Cable Rd,"Lima, OH 45805",(419) 227-7231,1
Kocian Meats & Marketplace,4058 Saint Clair Ave,"Cleveland, OH 44103",(216) 881-7676,1
Sukho Thai,4430 Belden Village St NW,"Canton, OH 44718",(330) 492-7888,1
Zamarelli Pizza Palace,4011 Front St,"Grove City, OH 43123",(614) 875-2700,1
Gridiron On Exchange Bar & Grille,456 E Exchange St,"Akron, OH 44304",(330) 535-9464,1
Emidio & Sons Italian Restaurant,636 N Main St,"Akron, OH 44310",(330) 253-4777,1
Miles Farmers Market,28560 Miles Rd,"Solon, OH 44139",(800) 646-4537,1
The Dipped Donut,256 S Sandusky St,"Delaware, OH 43015",(740) 957-8100,1
K&C Restaurants LLC,58 N Mulberry St,"Logan, OH 43138",(740) 385-8558,1
Ding Ho Restaurant,120 Phillipi Rd,"Columbus, OH 43228",(614) 276-4395,1
Arnies West Branch Steak House,5343 State Route 14,"Ravenna, OH 44266",(330) 297-1717,1
Jays Crab Boil and Oyster bar,10705 Blacklick Eastern Rd,"Pickerington, OH 43147",(614) 626-0300,1
Zepp's Pizza,1108 S Main St,"North Canton, OH 44720",(330) 966-9453,2
Kame House Hibachi Grill,6091 Cleveland Ave,"Columbus, OH 43231",(614) 943-0590,1
Habaneros Fresh Mexican Grill,3680 Fishinger Blvd,"Hilliard, OH 43026",(614) 541-9894,1
Ajanta Restaurant,3063 Woodman Dr,"Dayton, OH 45420",(937) 296-9200,1
Roby  Lee's Restaurant & Banquet Center,425 Ridge Rd,"Newton Falls, OH 44444",(330) 540-1019,1
The Pizza House,120 W Mcpherson Hwy,"Clyde, OH 43410",(419) 547-8375,1
Monica's Mexican Restaurant,1682 Merriman Rd,"Akron, OH 44313",(330) 836-1167,1
Mama B's Pizza,1115 Columbus Ave,"Sandusky, OH 44870",(419) 625-9999,1
Gus's Paving,17454 State Route 335,"Beaver, OH 45613",(740) 947-7903,1
Fat Jack's Pizza,1806 N West St,"Lima, OH 45801",(419) 227-1813,1
Grand Buffet,1450 Circleville Plaza Dr,"Circleville, OH 43113",(740) 477-8882,1
Bongiorno's Family Ristorante,9149 Ravenna Rd,"Twinsburg, OH 44087",(330) 487-1545,1
Hartzler Family Dairy,5454 Cleveland Rd,"Wooster, OH 44691",(330) 345-8190,1
Panda Garden,6600 Dixie Hwy,"Fairfield, OH 45014",(513) 870-0068,1
Wendy's,400 E Emmitt Ave,"Waverly, OH 45690",(740) 947-4000,1
Eastern Wok,3877 S High St,"Columbus, OH 43207",(614) 492-9300,1
Bob Evans Restaurant,1929 Harshman Rd,"Dayton, OH 45424",(937) 233-8729,1
Subway,2500 Tiffin Ave,"Findlay, OH 45840",(419) 423-3659,1
Junkers Tavern,4156 Langland St,"Cincinnati, OH 45223",(513) 541-5470,1
Hiland,722 N Highland Ave,"Girard, OH 44420",(330) 545-8686,1
Mike's Pub,2542 W Broad St,"Columbus, OH 43204",(614) 351-1869,1
Ko Sheng Chinese,3350 Cleveland Ave,"Columbus, OH 43224",(614) 262-1885,1
Burger King - Closed,3390 Cleveland Ave,"Columbus, OH 43224",(614) 267-0521,1
Seoul Garden Korean Restaurant,2559 State Rd,"Cuyahoga Falls, OH 44223",(330) 929-9971,1
Subway,995 S Washington St,"Millersburg, OH 44654",(330) 674-7827,1
Taco Bell,3970 Hauck Rd,"Sharonville, OH 45241",(513) 733-3070,1
Sugar Street Bar & Grill,1341 N Sugar St,"Lima, OH 45801",(419) 224-8838,1
El Campesino,9169 State Route 14,"Streetsboro, OH 44241",(330) 626-9777,1
Taco Bell,360 Howe Ave,"Cuyahoga Falls, OH 44221",(330) 928-2626,1
McDonald's,30100 Detroit Rd,"Westlake, OH 44145",(440) 835-2397,1
Dino's Cappuccinos,225 Xenia Ave,"Yellow Springs, OH 45387",(937) 767-3466,1
Willcher Inc,265 Hampshire Rd,"Akron, OH 44313",(330) 835-4658,1
Pony Express Pizza,3031 Graham Rd,"Stow, OH 44224",(330) 673-9410,1
McDonald's,10710 Lorain Ave,"Cleveland, OH 44111",(216) 252-9318,1
Lembo's Italian Restaurant,1186 Canton Rd,"Akron, OH 44312",(330) 733-7586,1
Brijmohan Indian Sweets & Restaurant,11277 Reading Rd,"Cincinnati, OH 45241",(513) 769-4549,1
Harper Management,415 E Main St,"Lancaster, OH 43130",(740) 653-3073,1
Village Pizza & Diner,8133 S State Route 48,"Maineville, OH 45039",(513) 683-9532,1
B & M Barbeque,5501 Warrensville Center Rd,"Maple Heights, OH 44137",(216) 475-8720,1
Due Amici,67 E Gay St,"Columbus, OH 43215",(614) 224-9373,1
Ianazone's Pizza,9056 N Lima Rd Suite A,"Youngstown, OH 44514",(234) 759-3533,1
R Ribs BBQ,26004 Euclid Ave,"Euclid, OH 44132",(216) 797-0200,1
Wally's Old Fashioned Pizza & Subs,1860 E Wheeling Ave,"Cambridge, OH 43725",(740) 432-2917,1
Paesano's Pasta House,308 S Campus Ave,"Oxford, OH 45056",(513) 524-9100,1
Fort Defiance Meats,1214 S Clinton St,"Defiance, OH 43512",(419) 784-2982,1
Wendy's,12498 Us Highway 35 NW,"Jeffersonville, OH 43128",(740) 948-2600,1
Stockport Mill Inn,1995 Broadway St,"Stockport, OH 43787",(740) 559-2822,1
Butchs Italian Cafe,6394 Gender Rd,"Canal Winchester, OH 43110",(614) 834-3201,1
Niedeckens's Carry-Out,604 S Main St,"Delphos, OH 45833",(419) 692-0891,1
Burger King,1535 E Alexis Rd,"Toledo, OH 43612",(419) 727-0055,1
Pizza Oven,1589 N Main St,"North Canton, OH 44720",(330) 494-4100,1
Recovery Room Bar,12207 Mccracken Rd,"Cleveland, OH 44125",(216) 581-4922,1
Wendy's,6781 E Main St,"Reynoldsburg, OH 43068",(614) 868-9913,1
Papa Johns Pizza,1444 Main St,"Hamilton, OH 45013",(513) 887-6600,1
McDonald's,67 W Broad St,"Pataskala, OH 43062",(740) 927-2269,1
Magic Wok,2040 W Laskey Rd,"Toledo, OH 43613",(419) 472-4453,1
Cleveland Chop,824 W Saint Clair Ave,"Cleveland, OH 44113",(216) 696-2467,1
Pizza To Go,16 S Main St,"Marengo, OH 43334",(419) 253-8595,1
Corbo's Bakery,12210 Mayfield Rd,"Cleveland, OH 44106",(216) 421-8181,1
Michael's Pizza of West Liberty,110 N Detroit St,"West Liberty, OH 43357",(937) 465-6437,1
Le Bistro du Beaujolais,8134 Columbia Rd,"Olmsted Falls, OH 44138",(440) 793-5028,1
The Breakfast Club Cafe,102 N Broadway St,"Lebanon, OH 45036",(513) 932-0210,1
Arby's,7095 Engle Rd,"Cleveland, OH 44130",(440) 239-0323,1
Winking Lizard of Mentor,9570 Mentor Ave,"Mentor, OH 44060",(440) 354-2968,1
Westwood Deli,2200 Harrison Ave,"Cincinnati, OH 45211",(513) 481-7517,1
Damon's,2227 Stringtown Rd,"Grove City, OH 43123",(614) 539-1313,1
Dante's Gameday Grille,1019 N Main St,"Akron, OH 44310",(330) 922-8344,1
Nick's Family Restaurant,34610 Lake Shore Blvd,"Eastlake, OH 44095",(440) 942-3770,1
Mitchell's Steakhouse,1408 Polaris Pkwy,"Columbus, OH 43240",(614) 888-2467,1
Arby's,3020 N Wooster Ave,"Dover, OH 44622",(330) 364-2299,1
Waffle House,2454 S Reynolds Rd,"Toledo, OH 43614",(419) 861-1577,1
Bullshooters,35 E Main St,"Ashland, OH 44805",(419) 282-9774,1
La Tapatia,4941 Burkhardt Rd,"Dayton, OH 45431",(937) 256-5863,1
El Vaquero,3230 Olentangy River Rd,"Columbus, OH 43202",(614) 261-0900,1
Schaffner's Drive In,601 W Market St,"Baltimore, OH 43105",(740) 862-6832,1
Bar 23,584 N High St,"Columbus, OH 43215",(614) 224-2323,1
Pizza Bros Inc,404 Cleveland Rd E,"Huron, OH 44839",(419) 433-4098,1
Amanda Carry Out,145 E Main St,"Lancaster, OH 43130",(740) 969-2773,1
Subway,16208 Madison Ave  Northland Plaza,"Lakewood, OH 44107",(216) 228-9300,1
Basi Italia,811 Highland St,"Columbus, OH 43215",(614) 294-7383,1
Tokyo Peking Chinese Restaurant,3 N Market St,"Troy, OH 45373",(937) 339-7762,1
Panera Bread,4205 Boardman Canfield Rd,"Canfield, OH 44406",(330) 533-7401,1
Domino's Pizza,126 N Main St,"Fredericktown, OH 43019",(740) 694-7827,1
Chillicothe Street Pizza,54 S Chillicothe St,"South Charleston, OH 45368",(937) 462-8033,1
Toro Loco,8630 Ohio River Rd,"Wheelersburg, OH 45694",(740) 574-4111,1
Cameo Pizza,280 SE Catawba Rd,"Port Clinton, OH 43452",(419) 734-7070,2
CiCi's Pizza,7631 Troy Pike,"Dayton, OH 45424",(937) 236-2424,1
Tigers Den Pizza,412 W Baird St,"West Liberty, OH 43357",(937) 650-1111,1
Nazareth Restaurant,4032 Presidential Pkwy,"Powell, OH 43065",(614) 210-0211,1
Heavenly Ham,50609 Valley Plaza Dr,"Saint Clairsville, OH 43950",(740) 699-0393,1
Winds Cafe,215 Xenia Ave,"Yellow Springs, OH 45387",(937) 767-1144,1
Burger King,10260 Brookpark Rd,"Cleveland, OH 44130",(216) 265-9193,1
Tai Wah Chinese Restaurant,5835 Darrow Rd,"Hudson, OH 44236",(330) 528-0888,1
Dairy Queen,309 Ashland Rd,"Mansfield, OH 44905",(419) 522-4883,1
Wendy's,4245 Cemetery Rd,"Hilliard, OH 43026",(614) 771-0545,1
China Garden,616 N University Blvd,"Middletown, OH 45042",(513) 422-6845,1
Elegant Fare,2575 Commerce Blvd,"Cincinnati, OH 45241",(513) 552-1340,1
Buger Nuts,36099 Euclid Ave,"Willoughby, OH 44094",(440) 946-6887,1
Paulette's,238 S Sandusky St,"Tiffin, OH 44883",(419) 443-0331,1
Chicago's Pizza,6679 Dixie Hwy,"Fairfield, OH 45014",(513) 874-7040,1
Shorty's,554 W Central Ave,"Delaware, OH 43015",(740) 362-5555,1
Deer Trail Pizza,11276 Us Highway 62,"Orient, OH 43146",(614) 877-3282,1
Subway,3883 Burbank Rd,"Wooster, OH 44691",(330) 345-7080,1
Kellogg Country House,3742 Kellogg Ave,"Cincinnati, OH 45226",(513) 871-2700,1
Capps Pizza,156 E Main St,"Orwell, OH 44076",(440) 437-5262,1
5th Street Wine & Deli,416 E 5th St,"Dayton, OH 45402",(937) 220-9333,1
Bub's Pizza Bar,3200 Linwood Ave Ste 2,"Cincinnati, OH 45226",(513) 321-2540,1
Sweet Melissa,19337 Detroit Rd,"Rocky River, OH 44116",(440) 333-6357,1
McDonald's,3273 Manchester Rd,"Coventry Township, OH 44319",(330) 644-2171,1
Toro Loco,781 E Main St,"Jackson, OH 45640",(740) 288-7227,1
Chud's Inc,1103 Napoleon St,"Fremont, OH 43420",(419) 332-9565,1
Kissho Asian Bistro & Sushi Bar,6823 E Broad St,"Columbus, OH 43213",(614) 861-3515,1
Village Family Restaurant,144 S Main St,"Waynesville, OH 45068",(513) 897-8835,1
Quik Deli,5820 Lee Rd S,"Maple Heights, OH 44137",(216) 581-2269,1
Bob Evans Restaurant,2433 S Reynolds Rd,"Toledo, OH 43614",(419) 381-1422,1
New Style,136 Akron Rd,"Wadsworth, OH 44281",(330) 334-9900,1
Dry Dock Saloon,8180 E Harbor Rd,"Lakeside Marblehead, OH 43440",(419) 798-9937,1
631 Frisch's Big Boy Restaurant,1540 E Wooster St,"Bowling Green, OH 43402",(419) 352-3531,1
Grand Buffet,12900 State Route 664 S,"Logan, OH 43138",(740) 380-9922,1
Domino's Pizza,302 E Main St,"Ravenna, OH 44266",(330) 296-5559,1
Burger King,7321 Dixie Hwy,"Fairfield, OH 45014",(513) 874-2189,1
Minuteman Pizza,4039 Parkmead Dr,"Grove City, OH 43123",(614) 539-5000,1
Taco Tontos,123 Franklin Ave,"Kent, OH 44240",(330) 677-0223,1
Donatos Pizza,1712 N Limestone St,"Springfield, OH 45503",(937) 390-8090,1
Nida's Sushi,59 Spruce St,"Columbus, OH 43215",(614) 228-4470,4
Burger King,2828 Medina Rd,"Medina, OH 44256",(330) 722-6040,1
Wing Warehouse,4050 Fishcreek Rd,"Stow, OH 44224",(330) 686-6509,1
David B's Grill and Pub,524 W Tuscarawas Ave,"Barberton, OH 44203",(330) 745-7677,1
New Wong's Chinese Restaurant,30160 Euclid Ave,"Wickliffe, OH 44092",(440) 585-2822,1
T & J Fresh Mex,7134 Ashlawn Dr,"Brecksville, OH 44141",(440) 740-0357,1
Jefferson Country Club,7271 Jefferson Meadows Dr,"Blacklick, OH 43004",(614) 759-7500,1
Simon Says,428 Walnut St,"Cincinnati, OH 45202",(513) 381-7577,1
Golden Dawn Restaurant,1245 Logan Ave,"Youngstown, OH 44505",(330) 746-0393,1
Dairy Queen (Treat) - Seasonally Closed,1628 W Market St,"Warren, OH 44485",(330) 469-5185,1
Lucky Restaurant,742 E 185th St,"Cleveland, OH 44119",(216) 486-1222,1
Donatos Pizza,9764 Sawmill Pkwy,"Powell, OH 43065",(614) 761-5400,1
Wendy's,8342 Princeton Glendale Rd,"West Chester, OH 45069",(513) 224-0838,1
Catfish Biff's Pizza & Subs,75 W 11th Ave,"Columbus, OH 43201",(614) 421-7421,1
Italianette Pizza,6918 Plainfield Rd,"Cincinnati, OH 45236",(513) 791-7650,1
Phillip's Delicatessen,536 Heaton St,"Hamilton, OH 45011",(513) 893-4811,1
O'Charley's,1425 Polaris Pkwy,"Columbus, OH 43240",(614) 846-9744,1
LongHorn Steakhouse,459 W Dussel Dr,"Maumee, OH 43537",(419) 891-5100,1
Flyboys,22 Mcdaniel St,"Dayton, OH 45405",(937) 220-9000,1
Mutz Inc,27 Broadway St,"Toledo, OH 43604",(419) 724-4060,1
Boat House Restaurant,218 Hartford Ave,"Put In Bay, OH 43456",(419) 285-5665,1
Burger King,3299 Steelyard Dr,"Cleveland, OH 44109",(216) 661-4427,1
Waffle House,5600 Executive Blvd,"Dayton, OH 45424",(937) 233-6440,1
Subway,501 E Dixie Dr,"Dayton, OH 45449",(937) 866-2551,1
O'Bryan's,1307 W High St,"Bryan, OH 43506",(419) 636-6817,1
J D's Pizza Deli & Catering,212 W Main Rd,"Conneaut, OH 44030",(440) 593-2113,1
Belly Busters BBQ,1159 E Main St,"Ashland, OH 44805",(419) 903-0930,1
LongHorn Steakhouse,45 Montrose West Ave,"Copley, OH 44321",(330) 670-9059,1
Twin Lakes Golf Course and Restaurant,100 Decker St,"Bellevue, OH 44811",(419) 483-2842,1
Burger King,5165 Pleasant Ave,"Fairfield, OH 45014",(513) 867-9933,1
Tim Horton's,790 Georgesville Rd,"Columbus, OH 43228",(614) 274-8060,1
Midway Restaurant,350 W Franklin St,"Kenton, OH 43326",(419) 673-9189,1
Wendy's,560 Carroll St,"New Lexington, OH 43764",(740) 342-4860,1
Long John Silver's | A&W,3561 Cleveland Ave,"Columbus, OH 43224",(614) 268-6075,1
Dairy Queen Grill & Chill,4263 Lancaster Ave,"Obetz, OH 43207",(614) 491-1511,1
Bob Evans Restaurant,2100 S Main St,"Bellefontaine, OH 43311",(937) 592-9552,1
Shady Grove Inc,15733 E Us Route 224,"Findlay, OH 45840",(419) 422-7494,1
Rudder's,3260 NE Catawba Rd,"Port Clinton, OH 43452",(419) 797-3260,1
Bayview Pub,5355 Bayview Rd,"Celina, OH 45822",(419) 268-2775,1
Hardee's,200 N College St,"Piqua, OH 45356",(937) 773-9751,1
Ralphie's Sports Eatery,3005 Navarre Ave,"Oregon, OH 43616",(419) 693-2500,1
Maryanns Pizza,1178 Milan Ave,"Amherst, OH 44001",(419) 984-2525,1
Draft House,15 W Main St,"Newark, OH 43055",(740) 345-9380,1
McDonald's,101 McCauley Dr,"Uhrichsville, OH 44683",(740) 922-3298,1
Arnie's Public House,1682 W Market St,"Akron, OH 44313",(330) 867-0154,1
Fu Qiang Wang,2802 Clark Ave,"Cleveland, OH 44109",(216) 566-8811,1
Bob Evans Restaurant,1380 N Hamilton Rd,"Gahanna, OH 43230",(614) 418-4791,1
Angie's Pizza of North Royalton,6120 Royalton Rd,"North Royalton, OH 44133",(440) 237-2440,1
Chuck E. Cheese's,6370 Strip Ave NW,"North Canton, OH 44720",(330) 494-7140,1
Sunrise Inn Express,132 Niles Cortland Rd NE,"Warren, OH 44484",(330) 609-7473,1
Jolly Pirate Donuts,175 S 30th St,"Newark, OH 43055",(740) 344-5528,1
Miller's Drive In Restaurant,1849 E Mansfield St,"Bucyrus, OH 44820",(419) 562-8554,1
Gia Bella's,189 Park Ave,"Conneaut, OH 44030",(440) 599-9981,1
Lakeview Market,3102 S Main St,"Coventry Township, OH 44319",(330) 644-8843,1
Aladdin's Eatery,2931 N High St,"Columbus, OH 43202",(614) 262-2414,1
Bob Evans Restaurant,3910 Lyman Dr,"Hilliard, OH 43026",(614) 771-6799,1
Dairy Queen,1240 Celina Rd,"Saint Marys, OH 45885",(419) 394-2916,1
Pat's Lido Club,4308 Springfield St,"Dayton, OH 45431",(937) 252-9980,1
Wendy's,7200 Hoke Rd,"Englewood, OH 45315",(937) 412-2156,1
Busken Bakery,370 W Kemper Rd,"Cincinnati, OH 45246",(513) 671-8454,1
Casa Fiesta,2455 Hayes Ave,"Fremont, OH 43420",(419) 332-0811,1
Legends Sports Bar & Grill L,,"Medina, OH 44256",(330) 952-0940,0
Wendy's,970 Loudenville Lexington Rd,"Lexington, OH 44904",(419) 886-3553,1
Toro Loco Mexican Restaurant,701 Washington St,"Portsmouth, OH 45662",(740) 354-0407,1
Subway,6356 Market Ave N,"Canton, OH 44721",(330) 966-8454,1
Wendy's,11400 Dallas Blvd,"Cincinnati, OH 45231",(513) 742-9999,1
Julian's,314 Pioneer St,"Akron, OH 44305",(330) 798-0043,1
Hanic's Cafe,915 Wooster Rd W,"Barberton, OH 44203",(330) 825-0005,1
Buns Restaurant,14 W Winter St,"Delaware, OH 43015",(740) 363-2867,1
Last Quarter,1895 Triplett Blvd,"Akron, OH 44312",(330) 784-1108,1
Mr. Hero,31910 Vine St,"Willowick, OH 44095",(440) 585-5234,1
