name,address,locality,phone
McDonald's,107 Austin St,"Greeneville, TN 37745",(423) 639-3277
Cock of the Walk,2624 Music Valley Dr,"Nashville, TN 37214",(615) 889-1930
La Campina Mexican Grill,5661 Highway 11 E,"Piney Flats, TN 37686",(423) 538-7271
Shoney's - Caryville,116 Main St,"Caryville, TN 37714",(423) 562-7839
Sonic Drive-In,1906 Charlotte Ave,"Nashville, TN 37203",(615) 327-7909
Los Reyes Mexican Restaurant,7712 Us Highway 51 N,"Millington, TN 38053",(901) 873-2200
Vanelli's Deli,7873 Farmington Blvd,"Germantown, TN 38138",(901) 754-2246
Subway,790 Everett St,"Tiptonville, TN 38079",(731) 253-7338
Hayes Hill Cafe,185 Bybee Rd,"Newport, TN 37821",(423) 623-4779
Los Pilares,6063 Mount Moriah Road Ext,"Memphis, TN 38115",(901) 795-0302
Arby's,6909 Kingston Pike,"Knoxville, TN 37919",(865) 212-2254
The Beef and Barrel Restaurant & Lounge,1112 West Ave,"Crossville, TN 38555",(931) 456-9211
Italia Pizza & Pasta,1600 Woodland St,"Nashville, TN 37206",(615) 262-5001
Bojangles,104 Epley Rd,"Newport, TN 37821",(423) 623-2052
Big T's,4100 Columbia Hwy,"Pulaski, TN 38478",(931) 363-8900
Johnson's Snack Bar,1440 County Hospital Rd,"Nashville, TN 37218",(615) 248-6821
Krystal,405 E Emory Rd,"Powell, TN 37849",(865) 938-8064
Mi Pueblito,144 Elks Lodge Ln,"Huntingdon, TN 38344",(731) 986-0050
Domino's Pizza,1706 S Highland Ave Ste B,"Jackson, TN 38301",(731) 935-2425
Fulin Chinese Restaurant,1351 N Germantown Pkwy,"Cordova, TN 38016",(901) 755-9131
Taco Bell,4018 Highway 66 S,"Rogersville, TN 37857",(423) 921-6009
Lenny's Sub Shop,6631 Clinton Hwy,"Knoxville, TN 37912",(865) 938-9933
Super Submarine Sandwich Shop,3316 Summer Ave,"Memphis, TN 38122",(901) 324-3728
Choo Choo BBQ,900 Appling St,"Chattanooga, TN 37406",(423) 622-1802
Shoney's,2303 Carmack Blvd,"Columbia, TN 38401",(931) 388-5476
Moe's Southwest Grill,465 N Germantown Pkwy,"Cordova, TN 38018",(901) 737-5058
Hardee's,270 W Bockman Way,"Sparta, TN 38583",(931) 836-2696
Buffalo Wild Wings,430 W Sam Ridley Pkwy,"Smyrna, TN 37167",(615) 459-0070
The Chop House,2011 Gunbarrel Rd,"Chattanooga, TN 37421",(423) 892-1222
Draper's Catering of Memphis,6116 Macon Rd,"Memphis, TN 38134",(901) 385-7788
Burger King,1040 Oak Ridge Tpke,"Oak Ridge, TN 37830",(865) 483-8991
The Pond,595 Hillsboro Rd,"Franklin, TN 37064",(615) 790-1491
Celtic Crossing,903 S Cooper St,"Memphis, TN 38104",(901) 274-5151
Ponderosa Business Office,4710 Hog Creek Rd,"Sugar Tree, TN 38380",(731) 847-2645
Zaxby's,118 N Anderson Ln,"Hendersonville, TN 37075",(615) 264-9074
Apple Annies Cafe,5795 Highway 70 W,"Camden, TN 38320",(731) 584-2509
Tom's Pizza & Steak House,2501 E Wood St,"Paris, TN 38242",(731) 642-8842
Kfc,6880 Highway 64,"Oakland, TN 38060",(901) 465-9916
Grecian Steak House,1213 Scottsville Rd,"Lafayette, TN 37083",(615) 666-7520
Silverado's East,427 S College St,"Lebanon, TN 37087",(615) 453-0797
Einstein Bros Bagels,2840 Bastogne Ave,"Fort Campbell, TN 42223",(270) 640-7073
Arby's,919 Gallatin Pike S,"Madison, TN 37115",(615) 865-0754
McDonald's,3665 Canada Rd,"Lakeland, TN 38002",(901) 388-9905
Coffee & Chocolate,327 Union Ave,"Knoxville, TN 37902",(865) 688-9244
Dino's Grill,645 N Mclean Blvd,"Memphis, TN 38107",(901) 278-9127
La Loma Mexican Restaurant,245 E Main St,"Hendersonville, TN 37075",(615) 264-5575
Captain D's Seafood Kitchen,812 Merchant Dr,"Knoxville, TN 37912",(865) 689-7735
Domino's Pizza,2109 Abbott Martin Rd,"Nashville, TN 37215",(615) 383-3030
Arby's,5228 Clinton Hwy,"Knoxville, TN 37912",(865) 688-3200
Burger King,202 W Morris Blvd,"Morristown, TN 37813",(423) 581-5672
Arby's,1315 Volunteer Pkwy,"Bristol, TN 37620",(423) 764-2444
Fujiyama,3736 Annex Ave Ste 101,"Nashville, TN 37209",(615) 352-7833
Hardee's,7685 Rutledge Pike,"Rutledge, TN 37861",(865) 828-8424
Burger King,160 New Highway 68,"Sweetwater, TN 37874",(423) 371-4088
Papa Johns Pizza,5210C Brainerd Rd Ste C,"Chattanooga, TN 37411",(423) 855-0606
Fuddruckers,2519 Knob Creek Rd,"Johnson City, TN 37604",(423) 915-1004
Bradley's Pit Barbecue & Grill,517 New Highway 68,"Sweetwater, TN 37874",(423) 351-7190
Dulce Desserts,1207 Villa Pl,"Nashville, TN 37212",(615) 321-8700
Kfc,7980 Winchester Rd,"Memphis, TN 38125",(901) 755-3116
ROMA Pizza and Pasta,1728 W Northfield Blvd,"Murfreesboro, TN 37129",(615) 890-4611
Heavenly Wings,5231 Brainerd Rd,"Chattanooga, TN 37411",(423) 499-9949
Jack's Family Restaurants,431 E Main St,"Adamsville, TN 38310",(731) 613-9445
Taco Bell,3569 Democrat Rd,"Memphis, TN 38118",(901) 795-4325
Market Street Tavern,850 Market St,"Chattanooga, TN 37402",(423) 634-0260
Tellico Beach Drive-In,1801 Cherohala Skwy,"Tellico Plains, TN 37385",(423) 253-2606
Little Rebel,284 Airways Blvd,"Jackson, TN 38301",(731) 423-9059
The Cupcake Collection,1213 6th Ave N,"Nashville, TN 37208",(615) 244-2900
Chilangos Mexican Restaurant,720 W Main St,"Woodbury, TN 37190",(615) 563-7113
Taco Bell,4370 Summer Ave,"Memphis, TN 38122",(901) 767-5193
Burger King,2205 Frayser Blvd,"Memphis, TN 38127",(901) 357-2140
The Timberloft,470 Gordonsville Hwy,"Gordonsville, TN 38563",(615) 683-5070
Fox's Pizza Den,2042 Lascassas Pike Ste A12,"Murfreesboro, TN 37130",(615) 494-4805
Sonic Drive-In,615 S Main St,"Ashland City, TN 37015",(615) 792-1873
Zaxby's,395 W Jackson St,"Cookeville, TN 38501",(931) 372-1700
Kim San Restaurant,215 Keith St SW,"Cleveland, TN 37311",(423) 476-1551
Arby's,5420 Brainerd Rd,"Chattanooga, TN 37411",(423) 894-7478
The Golden Roast,825 Melrose Pl,"Knoxville, TN 37916",(865) 544-1004
Subway,535 Waldron Rd,"La Vergne, TN 37086",(615) 793-0030
Arby's,489 W Sam Ridley Pkwy,"Smyrna, TN 37167",(615) 355-8700
Ruby Tuesday,2316 N Main St,"Crossville, TN 38555",(931) 456-8132
Tops Bar-B-Q,3970 Rhodes Ave,"Memphis, TN 38111",(901) 323-9865
Texas Roadhouse,180 Collier Dr,"Sevierville, TN 37862",(865) 908-4140
Dunkin',7201 Highway 70 S,"Nashville, TN 37221",(615) 662-5652
Domino's Pizza,11408 Kingston Pike Ste 100,"Knoxville, TN 37934",(865) 675-3030
Logan's Roadhouse,2008 Crossings Cir,"Spring Hill, TN 37174",(931) 489-1020
Seoul Garden Restaurant,4928 Edmondson Pike,"Nashville, TN 37211",(615) 445-3613
Chandlers Deli,3101 E Magnolia Ave,"Knoxville, TN 37914",(865) 595-0212
Sonic Drive-In,2403 W Andrew Johnson Hwy,"Morristown, TN 37814",(423) 586-1143
Craig's Pizza House,117 W Lake St,"Camden, TN 38320",(731) 584-4920
Craig's Pizza House,117 W Lake St,"Camden, TN 38320",(731) 584-4920
Brad's Pit Bar-B-Q,2646 Volunteer Pkwy,"Bristol, TN 37620",(423) 573-1349
Panera Bread,406 21st Ave S,"Nashville, TN 37203",(615) 320-1500
Toyama Japanese Steak House,15532 Old Hickory Blvd,"Nashville, TN 37211",(615) 837-1674
O'Charley's,2792 Wilma Rudolph Blvd,"Clarksville, TN 37040",(931) 552-6335
Caney Branch Restaurant,12140 Newport Hwy,"Greeneville, TN 37743",(423) 639-6797
Sub Station II,384 S Lowry St,"Smyrna, TN 37167",(615) 355-6686
Burger King,2119 E 23rd St,"Chattanooga, TN 37404",(423) 624-1633
Yummy Sub Shop,911 Union Ave,"Memphis, TN 38103",(901) 575-3336
Waffle House,794 Nissan Dr,"Smyrna, TN 37167",(615) 459-4624
Hardee's,417 Highway 52 Byp W,"Lafayette, TN 37083",(615) 666-6002
Subway,134 Courtright Rd,"Martin, TN 38237",(731) 587-0028
Taco Bell,3233 Thomas St,"Memphis, TN 38127",(901) 353-0346
Hamburgers & More,3 S Main St,"Memphis, TN 38103",(901) 577-9931
Tycoon,3307 Kirby Pkwy,"Memphis, TN 38115",(901) 362-8788
El Gallo Giro,3991 Lamar Ave,"Memphis, TN 38118",(901) 794-0609
Brices' Meat & Seafood,893 Lincoln Ave,"Morristown, TN 37813",(423) 586-2390
Firehouse Subs,2431 Callahan Dr,"Knoxville, TN 37912",(865) 947-3473
TGI Fridays,520 Cool Springs Blvd,"Franklin, TN 37067",(615) 771-8185
Sonic Drive-In,1410 Robinson Rd,"Old Hickory, TN 37138",(615) 541-0480
Whitts Barbecue,590 Highway 46 S,"Dickson, TN 37055",(615) 446-7304
Bamboo Oriental Cuisine,331 Waldron Rd Ste 100,"La Vergne, TN 37086",(615) 287-3021
Janatis,901 Carter St,"Chattanooga, TN 37402",(423) 266-7331
22 Club,1629 W Highway 22,"Union City, TN 38261",(731) 884-1858
Sonic Drive-In,106 Luyben Hills Rd,"Kingston Springs, TN 37082",(615) 952-9353
Shane's Rib Shack,203 N Anderson Ln Ste 107,"Hendersonville, TN 37075",(615) 264-2597
Freeman Fish Burger & BBQ,849 Wakefield St,"Lewisburg, TN 37091",(931) 359-8700
Domino's Pizza,115 Enon Springs Road,"Smyrna, TN 37167",(615) 459-0041
Sonic Drive-In,7816 Oak Ridge Hwy,"Knoxville, TN 37931",(865) 690-0122
Carriage House Restaurant,8310 State Highway 73,"Townsend, TN 37882",(865) 448-2263
C Fu,3135 S Mendenhall Rd,"Memphis, TN 38115",(901) 370-4706
Showboat Barbecue,3200 Hickory Hill Rd,"Memphis, TN 38115",(901) 366-0242
Domino's Pizza,1946 W Elk Ave,"Elizabethton, TN 37643",(423) 542-2211
Jason's Deli,1585 Chickering Ln,"Cordova, TN 38016",(901) 844-1840
Calhoun's,4550 City Park Dr,"Lenoir City, TN 37772",(865) 988-9838
Chew & Chat,1020 Mill St,"Pulaski, TN 38478",(931) 363-1460
Krystal,106 Highway 52 W,"Portland, TN 37148",(615) 323-7681
Block City Pizza,28460 Broad St,"Hollow Rock, TN 38342",(731) 586-4244
Twin Kegs,413 W Thompson Ln,"Nashville, TN 37211",(615) 832-3167
No Way Jose's Cantina,104 Waldens Main St,"Pigeon Forge, TN 37863",(865) 429-7779
Jerusalem Market & Restaurant,4794 Summer Ave,"Memphis, TN 38122",(901) 767-6960
Spring City Resort & Marina,2109 New Lake Rd,"Spring City, TN 37381",(423) 365-5150
Cajun Cookers,18 Three Way Ln,"Humboldt, TN 38343",(731) 668-1571
Wendy's,1868 Dayton Blvd,"Chattanooga, TN 37405",(423) 875-2618
Jamin Jelly Bakery & Cafe,8567 US Highway 64,"Somerville, TN 38068",(901) 465-1440
Maggiano's,3106 W End Ave,"Nashville, TN 37203",(615) 514-0270
Hamock's Perkadeli,321 S Charles G Seivers Blvd,"Clinton, TN 37716",(865) 457-0024
Jack in the Box,2181 Old Fort Pkwy,"Murfreesboro, TN 37129",(615) 904-1803
Chartwells,601 College St,"Clarksville, TN 37044",(931) 221-7016
Shoney's,9720 Parkside Dr,"Knoxville, TN 37922",(865) 690-6331
New York Cafe & Deli,2215 Elliston Pl,"Nashville, TN 37203",(615) 327-3663
East End Grill,7547 US Highway 64,"Memphis, TN 38133",(901) 937-1392
Cafys Roast House Cafe,3301 Aspen Grove Dr,"Franklin, TN 37067",(615) 727-0155
Gondola Restaurant,412 E Carroll St,"Tullahoma, TN 37388",(931) 455-9738
Burger King,3053 S 1st St,"Milan, TN 38358",(731) 613-2520
Chick-fil-A,6564 Clinton Hwy,"Knoxville, TN 37912",(865) 947-2416
Blue Plate Cafe-Downtown,113 S Court Ave,"Memphis, TN 38103",(901) 523-2050
India Palace,120 W 1st St,"Cookeville, TN 38501",(931) 525-1190
Charline's Fish Market,122 N Main St,"Covington, TN 38019",(901) 687-4739
Moss's Southern Cooking,253 Clearview Dr,"Clarksville, TN 37043",(931) 905-1818
Creekside Express,6 Cadillac Dr,"Brentwood, TN 37027",(615) 221-8828
Fox's Pizza Den,1901 Sevierville Rd,"Maryville, TN 37804",(865) 983-3339
Taco Bell,849 University St,"Martin, TN 38237",(731) 587-6800
Danville Bait Shop & Grill,12350 Highway 147,"Stewart, TN 37175",(931) 721-3865
Hardee's,1237 N Main Ave RT 1,"Erwin, TN 37650",(423) 743-5050
Domino's Pizza,119 Cooper St,"Etowah, TN 37331",(423) 263-4323
Dog House,,"Cookeville, TN 38501",(931) 858-7585
Cracker Barrel Old Country Store,10132 Airport Pkwy,"Kingsport, TN 37663",(423) 323-9212
Sonic Drive-In,8097 Us Highway 51 N,"Millington, TN 38053",(901) 872-0088
McDonald's,1704 Galleria Blvd,"Franklin, TN 37067",(615) 771-7272
China Spring,3614 Anderson Rd,"Nashville, TN 37217",(615) 366-6888
China Star,729 W Main St,"Woodbury, TN 37190",(615) 563-8001
Amo's,20905 Main St E,"Huntingdon, TN 38344",(731) 986-0763
Silver Sands Restaurant,937 Locklayer St,"Nashville, TN 37208",(615) 780-9900
Wing Basket,5753 Nolensville Pike,"Nashville, TN 37211",(615) 832-5400
Starbucks Coffee,3706 Hillsboro Pike,"Nashville, TN 37215",(615) 383-0353
D & L's Catfish Shack,3706 S Mendenhall Rd,"Memphis, TN 38115",(901) 567-5226
Subway,2410 US Highway 411 S,"Maryville, TN 37801",(865) 977-8001
OH Henry's,201 E Main St,"Rogersville, TN 37857",(423) 272-0980
Subway,335 Wears Valley Rd,"Pigeon Forge, TN 37863",(865) 429-3077
Pal's Sudden Service,413 W Elk Ave,"Elizabethton, TN 37643",(423) 542-0550
Calhoun's Gatlinburg,1004 Parkway,"Gatlinburg, TN 37738",(865) 436-4100
Spankie's,203 E 9th St,"Cookeville, TN 38501",(931) 528-1050
Hardee's,1411 N Locust Ave,"Lawrenceburg, TN 38464",(931) 766-1079
Charley's Grilled Subs,2011 N Roan St,"Johnson City, TN 37601",(423) 283-0464
The Spot,45 N Ocoee St,"Cleveland, TN 37311",(423) 479-7768
Scallywags Uptown Grill,28 S Jefferson St,"Winchester, TN 37398",(931) 967-9302
McDonald's,220 Dexter L Woods Memorial Blvd,"Waynesboro, TN 38485",(931) 722-5550
Subway,8126 Highway 100 Ste 102,"Bellevue, TN 37221",(615) 662-2222
La Costa,31 Market Sq,"Knoxville, TN 37902",(865) 566-0275
Pizza Inn,1716 W Andrew Johnson Hwy,"Morristown, TN 37814",(423) 587-4992
Pizza Perfect,1602 21st Ave S,"Nashville, TN 37212",(615) 329-2757
The Lunchbox,1225 E Weisgarber Rd Ste 170,"Knoxville, TN 37909",(865) 602-2232
Log Cabin Pancake House,4235 Parkway,"Pigeon Forge, TN 37863",(865) 365-1000
Sullivan's Sports Bar,701 President Pl Ste 140,"Smyrna, TN 37167",(615) 459-7864
Howard's Donuts,8130 Bellevue Pkwy,"Cordova, TN 38016",(901) 213-1100
Sonic Drive-In,2246 Parkway,"Pigeon Forge, TN 37863",(865) 429-0452
Charlotte's Pit Stop Tavern,40 Westover Dr,"Jackson, TN 38301",(731) 410-6852
Lot-O-Pig,101 Highway 51 S,"Covington, TN 38019",(901) 313-7074
McCabe Pub,4410 Murphy Rd,"Nashville, TN 37209",(615) 269-9406
Shorty's Restaurant,2959 Highway 107,"Chuckey, TN 37641",(423) 257-8313
Las Trojas,1218 Huntsville Hwy Ste D,"Fayetteville, TN 37334",(931) 438-9995
Arcuri's Italian Tavern,1160 Vann Dr,"Jackson, TN 38305",(731) 554-5454
Savelli's Italian Restaurant,3055 Sutherland Ave,"Knoxville, TN 37919",(865) 521-9085
El Chico,116 Cedar Ln,"Knoxville, TN 37912",(865) 687-4242
Kfc,11503 Chapman Hwy,"Seymour, TN 37865",(865) 579-4670
Long John Silver's,1227 Congress Pkwy S,"Athens, TN 37303",(423) 745-3275
Grandmas Pancake House,405 S Willow Ave Ste A,"Cookeville, TN 38501",(931) 520-8354
Cheddar's Scratch Kitchen,210 N Anderson Ln,"Hendersonville, TN 37075",(615) 822-5537
Nicks Deli & Marketplace,5149 Hixson Pike,"Hixson, TN 37343",(423) 877-5818
Fortune Express Chinese Restaurant,5197 Murfreesboro Rd,"La Vergne, TN 37086",(615) 287-9222
Dixie Queen,1181 S Bellevue Blvd,"Memphis, TN 38106",(901) 946-3094
J J's Crossroads Diner & More,48350 Sr 30,"Pikeville, TN 37367",(423) 447-3250
Shoney's - Lenoir City,1100 Highway 321 N,"Lenoir City, TN 37771",(865) 986-5550
Cheers of Kingston,517 N Kentucky St,"Kingston, TN 37763",(865) 376-0408
Hardee's,113 Bear Creek Pike,"Columbia, TN 38401",(931) 388-4050
Arby's,4097 Nolensville Pike,"Nashville, TN 37211",(615) 833-1888
212 Market Restaurant,212 Market St,"Chattanooga, TN 37402",(423) 265-1212
Sam & Andy's Deli,2613 Adair Dr,"Knoxville, TN 37918",(865) 281-9539
Tequila Cowboy,305 Broadway,"Nashville, TN 37201",(615) 742-9078
Early Rise Daily,2657 Lamar Ave,"Memphis, TN 38114",(901) 744-5225
El Patio,1995 US Highway 51 Bypass N,"Dyersburg, TN 38024",(731) 287-9488
Jack in the Box,1504 Hampton St,"Nashville, TN 37207",(615) 228-1336
New China Restaurant,5003 Clinton Hwy,"Knoxville, TN 37912",(865) 687-7459
Wall Street,121 N Maple St,"Murfreesboro, TN 37130",(615) 867-9090
Manhattan,101 S Central St,"Knoxville, TN 37902",(865) 525-2333
Domino's Pizza,620 E Reelfoot Ave,"Union City, TN 38261",(731) 885-8866
Smoky Mountain Pancake House,4050 Parkway,"Pigeon Forge, TN 37863",(865) 453-6746
Sbarro,1720 Old Fort Pkwy,"Murfreesboro, TN 37129",(615) 896-4486
Krystal,6724 Maynardville Pike,"Knoxville, TN 37918",(865) 922-8316
El Vallarta,2034 Us Highway 45 Byp S,"Trenton, TN 38382",(731) 855-1175
Lupos Italian Restaurante,2320 Amanda Ave,"Dyersburg, TN 38024",(731) 287-0088
Chattanooga Billiard Club,110 Jordan Dr,"Chattanooga, TN 37421",(423) 499-3883
Jersey Mike's Subs,479 W Sam Ridley Pkwy,"Smyrna, TN 37167",(615) 220-8525
Dog & Deli Depot,10556 Highway 70 N,"Crossville, TN 38571",(931) 277-3317
Burger King,2641 N Hollywood St,"Memphis, TN 38127",(901) 357-7807
Hardee's,901 W Main St,"Livingston, TN 38570",(865) 326-6555
McDonald's,3423 Amnicola Hwy,"Chattanooga, TN 37406",(423) 698-8400
Las Cazuelas,4114 Nolensville Pike,"Nashville, TN 37211",(615) 833-3507
Bida Saigon,8078 Kingston Pike,"Knoxville, TN 37919",(865) 694-5999
Panera Bread,375 Paul Huff Pkwy NW,"Cleveland, TN 37312",(423) 472-5444
O'Charley's,820 Expo Dr,"Smyrna, TN 37167",(615) 220-1772
Jim 'N Nick's Bar-B-Q,523 W Sam Ridley Pkwy,"Smyrna, TN 37167",(615) 220-8508
Mad Donna's,1313 Woodland St,"Nashville, TN 37206",(615) 226-1617
Wendy's,1502 N Main Ave,"Erwin, TN 37650",(423) 743-6550
Bellacino's Pizza & Grinders,4662 Lebanon Pike,"Hermitage, TN 37076",(615) 884-3020
Hot Wings Express,6761 E Shelby Dr,"Memphis, TN 38141",(901) 362-7400
Taco Bell,3045 Covington Pike,"Memphis, TN 38128",(901) 372-1234
Kfc,2415 Jacksboro Pike,"La Follette, TN 37766",(423) 562-1359
Taco Bell,1426 N Main St,"Crossville, TN 38555",(931) 456-7690
Nagasaki Inn,3951 Summer Ave,"Memphis, TN 38122",(901) 454-0320
Arby's,6302 Ringgold Rd,"East Ridge, TN 37412",(423) 499-6332
